Časová pečiatka,Uveďte Váš vek:,Uveďte Vaše pohlavie:,1. Ako hodnotíte všeobecnú prehľadnosť slovensko.sk?,2. Ako hodnotíte dizajn a prehľadnosť slovensko.sk pri navštívení cez mobilný prehliadač?,3. Ako hodnotíte schránku dokumentov na slovensko.sk?,4. Aké sú Vaše dojmy z inštalácie potrebných programov pre používanie elektronického občianskeho preukazu?,5. Ak ste si vytvorili vlastný e-podpis bol pre Vás tento proces náročný?,6. Za akým účelom najčastejšie navštevujete slovensko.sk?,7. Ktorú z nasledujúcich elektronických služieb ste už využili?,8. Ako hodnotíte funkčnosť vybraných služieb?,9. Nakoľko sú Vaše skúsenosti s inými eGovernment portálmi ako slovensko.sk pozitívne? ,"10. Je pre Vás slovensko.sk pohodlnejšie, ako osobný styk na úradoch?"
1.5.2018 21:48:28,21,Muž,Celkom prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Vyhľadávanie informácií,Žiadne,Často ne fungujú,Veľmi negatívne,Áno
1.5.2018 22:47:52,25,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
1.5.2018 22:48:56,21,Žena,Málo prehľadné,Málo prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Ohlásenie živnosti",Často fungujú,Neutrálne,Áno
1.5.2018 22:59:36,27,Muž,Málo prehľadné,Málo prehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri",Často fungujú,Negatívne,Áno
1.5.2018 23:01:56,29,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Ohlásenie živnosti, Žiadosť o výpis zo živnostenského registra",Často fungujú,Neutrálne,Áno
1.5.2018 23:07:43,23,Muž,Neprehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Nevytvoril,"Pracovne, je to nevyhnutné kvôli mojej práci",Výpis alebo odpis z registra trestov,Často ne fungujú,Negatívne,Áno
1.5.2018 23:15:59,20,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Pozitívne,Áno
2.5.2018 0:00:48,20,Žena,Neprehľadné,Celkom prehľadné,Ťažko sa mi s ňou pracuje,Neinštaloval/a som,Nevytvoril,Používanie služieb verejnej správy,"Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Výpis alebo odpis z registra trestov, Prihlásenie na trvalý pobyt alebo na prechodný pobyt, Vydanie úradného výpisu matričného dokladu",Často fungujú,Neutrálne,Nie
2.5.2018 0:03:01,21,Muž,Málo prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,"Zložitá inštalácia, avšak prehľadné návody",Náročný,Nenavštevujem,Žiadne,Často ne fungujú,Negatívne,Nie
2.5.2018 2:36:04,25,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 9:05:48,25,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:08:46,22,Žena,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Pozitívne,Áno
2.5.2018 9:09:34,19,Muž,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Jednoduchá inštalácia a prehľadné návody,Nevytvoril,Nenavštevujem,Prihlásenie na trvalý pobyt alebo na prechodný pobyt,Často fungujú,Neutrálne,Áno
2.5.2018 9:10:11,24,Žena,Celkom prehľadné,Nepoužívam,Veľmi užitočná služba dobre sa s ňou pracuje,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 9:13:33,24,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Jednoduchá inštalácia a prehľadné návody,Stredne náročný,Používanie služieb verejnej správy,"Výpis z obchodného registra, Výpis alebo odpis z registra trestov, Vydanie nového občianskeho preukazu s čipom",Často fungujú,Neutrálne,Áno
2.5.2018 9:15:57,37,Muž,Neprehľadné,Neprehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:16:43,22,Žena,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Nenavštevujem,Žiadne,Vždy fungujú,Neutrálne,Nie
2.5.2018 9:23:45,30,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nenáročný,Vyhľadávanie informácií,Žiadne,Často fungujú,Neutrálne,Áno
2.5.2018 9:26:38,27,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:27:18,23,Žena,Prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 9:31:06,31,Žena,Málo prehľadné,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Používanie služieb verejnej správy,evidencia vozidla,Často fungujú,Neutrálne,Áno
2.5.2018 9:31:10,25,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Náročný,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:39:17,26,Muž,Celkom prehľadné,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Často ne fungujú,Negatívne,Nie
2.5.2018 9:39:52,28,Muž,Neprehľadné,Málo prehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,Prihlásenie na trvalý pobyt alebo na prechodný pobyt,Často fungujú,Neutrálne,Áno
2.5.2018 9:41:02,24,Muž,Prehľadné,Prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Nenáročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri",Vždy fungujú,Veľmi pozitívne,Áno
2.5.2018 9:41:31,22,Žena,Málo prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Vyhľadávanie informácií,Výpis z obchodného registra,Často fungujú,Pozitívne,Nie
2.5.2018 9:42:03,30,Žena,Neprehľadné,Málo prehľadné,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Ohlásenie živnosti, Vydanie úradného výpisu matričného dokladu",Často fungujú,Negatívne,Áno
2.5.2018 9:43:55,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:45:44,26,Muž,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,"Výpis alebo odpis z registra trestov, Žiadosť o prevod držby vozidla na inú osobu, Vydanie nového občianskeho preukazu s čipom, Prihlásenie na trvalý pobyt alebo na prechodný pobyt",Často fungujú,Negatívne,Nie
2.5.2018 9:46:32,26,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 9:51:23,27,Žena,Málo prehľadné,Neprehľadné,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Náročný,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 9:56:33,24,Žena,Celkom prehľadné,Prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 9:59:04,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 10:08:25,23,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Veľmi negatívne,Áno
2.5.2018 10:10:18,25,Muž,Málo prehľadné,Málo prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 10:31:25,24,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 10:44:22,27,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 10:54:27,25,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Používanie služieb verejnej správy,Výpis z obchodného registra,Často fungujú,Neutrálne,Áno
2.5.2018 10:54:52,24,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,
2.5.2018 11:00:23,25,Muž,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 11:00:41,23,Muž,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 11:14:04,36,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 13:33:42,26,Žena,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Často fungujú,Pozitívne,Áno
2.5.2018 15:51:37,30,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Negatívne,Nie
2.5.2018 16:05:26,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
2.5.2018 19:21:18,18,Muž,Málo prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,"Zložitá inštalácia, avšak prehľadné návody",Náročný,Používanie služieb verejnej správy,Žiadne,Často fungujú,Negatívne,Áno
2.5.2018 19:23:40,27,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
2.5.2018 21:58:17,24,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
3.5.2018 7:42:36,24,Žena,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Často ne fungujú,Neutrálne,Nie
3.5.2018 7:44:20,25,Žena,Málo prehľadné,Málo prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Zložitá inštalácia, avšak prehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Ohlásenie živnosti,Často fungujú,Neutrálne,Áno
3.5.2018 7:46:03,27,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Používanie služieb verejnej správy,"Ohlásenie živnosti, Vydanie nového občianskeho preukazu s čipom",Často fungujú,Neutrálne,Áno
3.5.2018 7:47:15,24,Žena,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Výpis alebo odpis z registra trestov,Často fungujú,Neutrálne,Áno
3.5.2018 7:48:21,30,Muž,Málo prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Prihlásenie na trvalý pobyt alebo na prechodný pobyt,Často fungujú,Neutrálne,Áno
3.5.2018 10:22:16,32,Muž,Prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Nenavštevujem,"Žiadosť o výpis zo živnostenského registra, Prihlásenie na trvalý pobyt alebo na prechodný pobyt",Často fungujú,Pozitívne,Áno
5.5.2018 14:13:29,25,Žena,Celkom prehľadné,Málo prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,"Vyhladavanie na kapor, vyhladavanie v orsr",Nepoužívam,Pozitívne,Áno
5.5.2018 21:08:01,23,Žena,Prehľadné,Prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
5.5.2018 21:50:30,20,Žena,Celkom prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Pozitívne,Áno
5.5.2018 21:51:58,22,Žena,Prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Výpis alebo odpis z registra trestov,Často fungujú,Neutrálne,Áno
5.5.2018 21:54:44,27,Muž,Celkom prehľadné,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,"Vydanie nového občianskeho preukazu s čipom, Vydanie úradného výpisu matričného dokladu",Často ne fungujú,Pozitívne,Áno
5.5.2018 22:21:58,21,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
6.5.2018 5:03:25,39,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
6.5.2018 8:52:41,26,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,"Žiadosť o prevod držby vozidla na inú osobu, Vydanie nového občianskeho preukazu s čipom, Prihlásenie na trvalý pobyt alebo na prechodný pobyt, Vydanie úradného výpisu matričného dokladu",Nepoužívam,Neutrálne,Áno
6.5.2018 8:59:59,23,Žena,Málo prehľadné,Prehľadné,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Používanie služieb verejnej správy,"Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Výpis z obchodného registra, Žiadosť o výpis zo živnostenského registra",Často ne fungujú,Negatívne,Nie
6.5.2018 9:21:38,24,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
7.5.2018 10:27:28,24,Muž,Celkom prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,"Výpis z obchodného registra, Ohlásenie živnosti, Späťvzatie priezviska po rozvode",Nepoužívam,Pozitívne,Áno
9.5.2018 12:25:04,22,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
9.5.2018 22:02:30,44,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
9.5.2018 22:06:50,43,Žena,Málo prehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Nenáročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Ohlásenie živnosti, doručovanie súdnych rozhodnutí, elektronické podania do katastrov, doručovanie žiadostí na iné OVM, preberanie podaní do spisov, elektronická komunikácia so súdmi, OVS, OŠS, inými OVM",Často ne fungujú,Neutrálne,Áno
9.5.2018 22:07:44,32,Žena,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Nenáročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Žiadne,Často ne fungujú,Negatívne,Nie
9.5.2018 22:11:48,43,Muž,Prehľadné,Nepoužívam,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Zložitá inštalácia a neprehľadné návody,Nenáročný,Používanie služieb verejnej správy,"Ohlásenie živnosti, Vybavenie rodičovskej",Často fungujú,Veľmi negatívne,Áno
9.5.2018 22:16:09,35,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
